id,name,currentCategory,currentCalories,currentProtein,currentFat,currentCarbs,recommendedCalories,recommendedProtein,recommendedFat,recommendedCarbs,recommendedCategory,recommendedMealTimeTags,recommendedMealRoles,recommendedGoalTags,recommendedCookingMethod,recommendedPortionType,servingNote,manualReviewNote
1,Phở bò,Món nước,517,26.2,18.4,51.8,520,28,16,62,Món nước,BREAKFAST|LUNCH,MAIN|STAPLE,MAINTENANCE|MUSCLE_GAIN,SOUP,FULL_MEAL,"1 tô vừa: bánh phở 180g, bò 90g, nước dùng, rau.",
2,Bún chả,"Món nước, Món nướng",539,30,25,57.5,650,30,28,72,Bún,LUNCH|DINNER,MAIN|STAPLE,MAINTENANCE|WEIGHT_GAIN,GRILLED,FULL_MEAL,"1 phần vừa: bún 180g, thịt nướng/chả 120g, nước chấm.",
3,Cơm tấm,Cơm,536,27.3,19.3,19.3,720,32,28,82,Cơm,LUNCH|DINNER,MAIN|STAPLE,MAINTENANCE|WEIGHT_GAIN,GRILLED,FULL_MEAL,"1 đĩa vừa: cơm 180g, sườn 120g, bì/chả ít, nước mắm.",
4,Bánh mì,Ăn nhẹ,311,31.2,17.7,60,390,15,12,56,Ăn nhẹ,BREAKFAST|SNACK,STAPLE|SNACK,MAINTENANCE|WEIGHT_GAIN,RAW,FULL_MEAL,"1 ổ bánh mì nhân cơ bản, không tính nhiều sốt/bơ.",
5,Gỏi cuốn,"Món khô, Chấm",538,28.7,26.9,16.7,280,16,7,38,Ăn nhẹ,SNACK|LUNCH|DINNER,SNACK|SIDE,WEIGHT_LOSS|MAINTENANCE,RAW,LIGHT,"3 cuốn tôm thịt vừa, ít nước chấm.",
6,Bún bò Huế,"Bún, Món nước",450,19.1,17,48.9,580,28,20,70,Bún,BREAKFAST|LUNCH,MAIN|STAPLE,MAINTENANCE|WEIGHT_GAIN,SOUP,FULL_MEAL,"1 tô vừa: bún, bò/chả, nước dùng.",
7,Cháo lòng,Cháo,541,21.2,6.3,50,430,22,18,48,Cháo,BREAKFAST|DINNER,MAIN|STAPLE,MAINTENANCE,SOUP,FULL_MEAL,"1 tô vừa, nội tạng mức vừa.",
8,Xôi xéo,"Món khô, Xôi",429,30.8,8.7,25.5,520,15,14,84,"Món khô, Xôi",BREAKFAST,STAPLE,WEIGHT_GAIN|MAINTENANCE,STEAMED,FULL_MEAL,"1 gói xôi vừa 250g, đậu xanh, hành phi.",
9,Bánh xèo,Bánh,426,32.3,8.1,30,520,20,26,52,Bánh,LUNCH|DINNER,MAIN|STAPLE,MAINTENANCE|WEIGHT_GAIN,FRIED,FULL_MEAL,"1 cái vừa kèm rau, nước chấm.",
10,Hủ tiếu,"Hủ tiếu, Món nước",346,11.3,7.1,29.1,500,25,12,68,"Hủ tiếu, Món nước",BREAKFAST|LUNCH,MAIN|STAPLE,MAINTENANCE,SOUP,FULL_MEAL,1 tô hủ tiếu vừa.,
11,Bánh cuốn,Cuốn,475,7,18.7,16.3,420,16,12,62,Cuốn,BREAKFAST|SNACK,STAPLE|MAIN,MAINTENANCE,STEAMED,FULL_MEAL,"1 phần 250g, chả vừa, nước mắm.",
12,Bún riêu,"Món nước, Bún",523,18.4,5.7,23.6,480,24,14,62,Bún,BREAKFAST|LUNCH,MAIN|STAPLE,MAINTENANCE,SOUP,FULL_MEAL,"1 tô vừa có riêu, đậu, bún.",
13,Mì Quảng,"Món nước, Mì",369,14.8,20.3,15.2,560,27,18,70,Mì/Miến/Nui,BREAKFAST|LUNCH,MAIN|STAPLE,MAINTENANCE|WEIGHT_GAIN,SOUP,FULL_MEAL,"1 tô vừa, ít dầu đậu phộng.",
14,Cao lầu,"Mì, Món nước",259,27.2,23.9,55.9,530,25,15,72,"Mì, Món nước",BREAKFAST|LUNCH,MAIN|STAPLE,MAINTENANCE,SOUP,FULL_MEAL,1 tô vừa.,
15,Bánh canh,"Món nước, Mì",460,34.5,12.4,21.2,500,22,12,72,"Món nước, Mì",BREAKFAST|LUNCH,MAIN|STAPLE,MAINTENANCE,SOUP,FULL_MEAL,1 tô bánh canh thường.,
16,Chả giò,Đồ khô,362,15.2,12.1,55,320,12,20,24,Ăn nhẹ,SNACK|DINNER,SNACK|SIDE,WEIGHT_GAIN|MAINTENANCE,FRIED,LIGHT,"3 cuốn nhỏ, món phụ không nên là bữa chính giảm cân.",
